"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1946,233.2,210.3,222.4,168.1,141.4,79.3,68.4,52.7,70.3,105.7,175.4,176.6,531.9,200.4,351.4,643.4,1703.8
1947,240.8,226,277.9,183.5,132.8,85.2,76.4,58.9,81.1,138.7,202.6,222.4,594.2,220.5,422.4,668.7,1926.3
1948,226,220.4,269.2,167.8,123.6,82.7,66.8,47.9,79.1,122.8,149.7,258,560.6,197.4,351.5,719.5,1813.9
1949,243.4,218,214.4,203.9,136.5,92.2,70.5,64,72.8,128.4,170.8,184.9,554.8,226.7,372,641.7,1799.9
1950,234.9,221.9,270.4,206.1,128.3,80.3,74.9,47.9,59.8,119.8,156.5,215.1,604.8,203.1,336.2,616.7,1816
1951,220.8,180.8,251.8,177.8,137,85.8,57.8,45.5,66.2,119,135.6,191.6,566.7,189.1,320.9,624.1,1669.8
1952,204.4,228.2,252.7,176.5,128.2,78.9,58.8,55.2,76.7,110.8,143.7,226.9,557.4,192.8,331.2,647.7,1740.8
1953,198.8,222,234.6,191,121.4,74,72.1,47.3,94.7,124.4,159.5,229.3,547.1,193.3,378.6,647,1769
1954,197,220.7,248.4,174.6,132.2,93.4,64.6,48.3,69.5,104.1,170.9,193.1,555.2,206.2,344.5,647.9,1716.7
1955,249.6,205.2,244.3,195.4,130.3,81.1,72.7,46,66.5,117.7,165.8,214.1,569.9,199.8,350,650.6,1788.7
1956,204.3,232.2,237.7,204.9,151.7,99,71.2,70.9,70.3,136.5,187.8,219.1,594.4,241,394.6,687.3,1885.5
1957,253.8,214.5,251.7,216.4,130.6,83.8,64.1,56.3,85.3,106.8,152.1,183.2,598.7,204.1,344.2,642,1798.6
1958,247,211.8,230.7,185.4,116.2,68.9,63.1,45.1,71,126.2,143,212,532.3,177.1,340.1,654.2,1720.4
1959,231.3,211,248.8,166.3,122.1,100.6,67.9,62.3,66.8,115.5,161.9,168.6,537.2,230.8,344.2,625.9,1723
1960,236.8,220.5,282.1,169.1,116,84.7,66.1,59.7,63.4,121.9,146.9,212.7,567.2,210.5,332.2,686.8,1779.9
1961,244.4,229.8,215.3,175.9,127.3,87.7,58.6,45.2,64.4,112.1,128.4,199.3,518.6,191.5,304.8,645.6,1688.3
1962,231.2,215.1,226,181.2,138.8,83.1,62,49.5,77.3,117.7,153,224.4,546,194.6,348,677,1759.1
1963,214.1,238.6,215.5,173.6,112.2,71.6,53.2,40.3,59.3,97.2,163.4,212.3,501.3,165,319.9,738.9,1651.2
1964,275.8,250.9,224.4,189.7,157.7,86.9,72.3,61.4,77.1,144.2,157.2,206.5,571.7,220.5,378.5,638.9,1903.9
1965,230.8,201.5,265.7,212,130.6,87.2,72.5,54.4,76.1,149.7,156.4,181.9,608.4,214.1,382.3,633.8,1818.9
1966,217.4,234.5,215.9,184,138.3,87.4,79.1,52.7,80.9,119.5,151.4,208.2,538.2,219.2,351.8,664.8,1769.1
1967,228.4,228.2,246.2,198,127.6,84.2,60.8,42.7,65.2,99.2,157.2,199,571.8,187.7,321.5,619.8,1736.7
1968,198.5,222.3,244.4,175.2,133.1,78.7,60.7,60.2,78.8,114.9,185.2,203.3,552.7,199.5,378.9,632,1755.2
1969,233.3,195.5,225.4,176.2,139.2,84.5,66.6,54.4,67.3,120.1,143.7,197.5,540.9,205.5,331,639.9,1703.7
1970,234.2,208.2,233.2,188.9,122.8,92,66.2,64.6,83.4,124.3,181.2,152.1,544.9,222.7,388.8,557.7,1750.9
1971,196,209.5,240.4,206.6,144.6,112.9,78.2,62.9,72.4,140.8,174.7,167.2,591.6,254,387.9,622.6,1806.2
1972,215.5,239.8,214.8,181.9,119.9,86.1,75.3,81.3,85.9,130.3,168.5,228.5,516.7,242.7,384.8,657.4,1828
1973,208.6,220.4,248.4,200.6,169.4,95.3,92,72.4,87.8,160,165.5,212.6,618.5,259.6,413.3,681.9,1932.9
1974,249.4,219.9,289.6,221.9,141.9,106.5,69.1,61.3,78.2,132.2,142.4,221.6,653.4,236.9,352.8,672.8,1934
1975,229.5,221.8,239.9,212,151,98.1,95.4,64.7,81,121.5,173.4,184.1,602.8,258.2,375.9,636.7,1872.3
1976,210.3,242.3,234.2,173,141.2,77.7,61.2,53.3,83.6,138.3,166.6,196.4,548.4,192.2,388.5,647.3,1778.1
1977,246.9,204,207.4,209.7,144.4,108.9,68.1,53.5,87.4,124.1,154.8,227.7,561.5,230.5,366.3,677.1,1836.9
1978,227.9,221.5,244.1,187.3,152.5,77.2,90.1,54.2,82.8,123.6,151.3,212.8,583.9,221.5,357.7,690,1825.1
1979,242.7,234.6,227,170.9,129.4,68.6,51.7,67.2,92.8,121,153.3,196.1,527.3,187.5,367.2,716.9,1755.3
1980,244.1,276.8,200.2,165.2,114.6,86,59,50.3,75.5,112.1,162.9,202.3,480,195.3,350.5,598.6,1749
1981,224.9,171.3,259,148.9,103.1,87.5,54.8,55.9,65.4,131.4,164,194,511.1,198.2,360.9,668.3,1660.4
1982,266.6,207.7,254.1,182.8,126.3,77.9,67.4,58.2,73,113.9,125.4,189.9,563.2,203.5,312.3,626.8,1743.2
1983,223.2,213.6,236,178,122.4,70.1,54.9,53.9,78,131.1,153.1,206.3,536.4,178.9,362.2,602.3,1720.6
1984,198.6,197.4,248.7,234.3,147.4,85.1,71.5,81.8,100.6,121.8,139.9,183.5,630.5,238.3,362.3,710,1810.7
1985,303.2,223.3,249.2,200.3,148.1,85.2,72.3,68,79.5,128.4,150.9,246.7,597.7,225.4,358.9,687,1955.1
1986,219.9,220.4,254.4,179.2,138.5,93.1,72.1,59.2,73.4,122.7,146.4,197.1,572.1,224.4,342.6,578.3,1776.4
1987,202.1,179.1,251.3,198.3,124.9,82.5,62.4,49.8,78.4,101.8,148.8,200,574.5,194.7,328.9,661.7,1679.3
1988,232.3,229.4,241,204.3,146.1,92.8,65.5,39.3,66.4,112.9,153.3,218,591.3,197.6,332.6,672.3,1801.2
1989,231.3,223,248.7,199.6,151.1,105.5,82.8,63.1,82.1,128.2,171.9,291.6,599.4,251.5,382.2,693.8,1979
1990,194.8,207.3,201,177.7,142.1,82.7,78.6,67.8,91.2,115.4,147.2,171.3,520.8,229.1,353.8,642.1,1677.1
1991,270.5,200.3,258.4,188.2,128.6,94.1,63.7,51.9,71.7,101.7,135.8,170.4,575.2,209.7,309.2,648.3,1735.4
1992,245.4,232.5,226.3,167.6,107.7,64.4,67.1,55.1,88.5,113.6,161.3,181.6,501.6,186.5,363.3,621.3,1710.9
1993,206.5,233.2,188.6,170,113.5,84.5,64.7,54.9,83,117,162.3,211.7,472,204.2,362.3,682.5,1689.9
1994,248.9,221.9,271.6,186.9,138.8,114,69.9,54.6,77.4,121.5,163.7,185.2,597.3,238.5,362.6,609.4,1854.4
1995,202.7,221.5,218.3,208,152.4,89.5,73.3,38.2,62.6,112.1,181,220.8,578.7,201,355.8,673.4,1780.5
1996,239.1,213.5,257.8,208.8,126.8,96.3,69.7,58.1,80.6,126.5,180.4,169.9,593.4,224.1,387.5,647.3,1827.4
1997,261.7,215.7,281.6,186.7,125.6,71.2,56.1,56.1,64.7,110.9,151.3,193.6,594,183.4,326.9,605.3,1775.2
1998,215.4,196.3,217.7,179,135,89.9,68.9,65.6,78.5,122,175.1,195.1,531.7,224.4,375.7,650.8,1738.5
1999,240.3,215.4,242.6,180.3,159.8,85.9,63.7,49.6,84.1,115.3,171.3,221,582.7,199.1,370.7,734.5,1829.2
2000,259.5,254.1,258.9,203.2,141.1,88.3,85.9,65.4,106,109.5,173.1,214.7,603.2,239.6,388.6,651.3,1959.6
2001,228.8,207.8,238,174.6,131.1,101,69.3,47.1,79.2,122.4,158.9,212.1,543.7,217.4,360.5,695.5,1770.4
2002,267.1,216.2,212.2,190.7,152.8,94,64.3,58.4,78.1,108.5,140.3,225.2,555.7,216.6,327,675.7,1807.9
2003,228.7,221.8,242.8,183.1,140.6,95.5,66.1,68.3,80,102.7,144.1,164.3,566.5,229.9,326.8,713.9,1737.9
2004,272.8,276.8,250.2,174.9,136.1,83.4,78.2,54.5,66.9,120.7,145.4,174.5,561.1,216.1,333.1,630.7,1834.3
2005,232.9,223.3,273.4,186.5,157.7,82.4,58.3,53,73.8,114.5,150.3,235.1,617.7,193.7,338.5,675.3,1841.3
2006,207.8,232.4,267.9,225.3,153.4,83.6,67.7,50.4,74.5,132.3,181,199.2,646.7,201.6,387.8,670.9,1875.5
2007,224,247.7,216.9,195.8,132.8,74.6,72.9,56.2,60.1,114.7,157.5,202,545.5,203.7,332.4,702.1,1755.2
2008,263,237.1,279.8,210.8,141,87.3,63.2,57.7,75.7,117,160.4,228.8,631.7,208.1,353.2,719.2,1922
2009,243.6,246.8,260.8,228.6,160.6,108.5,77.1,63.6,81.1,142.6,129.7,218.8,650,249.2,353.4,659.8,1961.8
2010,234.7,206.3,229,212.2,134.9,82.3,73.2,43.9,63.3,123,160.5,211.2,576,199.4,346.9,722.4,1774.5
2011,259.7,251.5,275,206.8,149.8,79,70.9,55.6,55.3,140.5,157.8,188.4,631.6,205.5,353.6,659.3,1890.3
2012,243.5,227.4,217.4,162.5,125.2,83.5,66.5,44.5,62,94.9,161.9,175.2,505.1,194.5,318.9,620.4,1664.6
2013,230.5,214.7,245.8,181.5,146.5,98.3,78.5,67.6,78.3,119.1,166.9,212.8,573.8,244.4,364.3,638.7,1840.5
2014,194.1,231.8,242.2,188.8,137.3,91,69.6,54.3,72,108.2,169.2,185.1,568.3,214.9,349.5,576.4,1743.6
2015,185,206.3,237.8,187.1,143,81.8,77,44.1,60.9,85.7,123.9,149.4,567.9,203,270.5,578.7,1582.1
2016,246.7,182.6,218.8,152.5,112.6,77.7,61.2,53.5,67.1,120.1,135.1,185.7,483.9,192.4,322.3,627.4,1613.7
2017,213.5,228.2,224.5,177.7,129.2,78.2,50.6,46.7,61.2,98.6,147.4,198.5,531.5,175.5,307.2,656.9,1654.4
2018,211.5,246.9,222.1,203.6,127.2,71.7,64.5,58.7,78.1,120.6,171.8,216.7,552.9,195,370.5,627.8,1793.5
2019,196,215.1,241.4,193.8,146.7,81.2,67.9,49.2,61.4,114.5,148.8,174,582,198.2,324.7,642.7,1689.9
2020,245.4,223.2,234.4,182.2,131.9,93.4,60.5,47,58.2,106.1,162.5,185.4,548.5,200.9,326.7,626.4,1730.2
2021,205.8,235.2,244.5,178,114.2,84.1,66.9,58.9,64.2,128.1,183.7,223.2,536.7,209.9,376,646.9,1786.9
2022,215,208.7,251.4,170.1,114.3,86.9,58.2,58.9,64.8,117.2,174.5,199.3,535.7,204.1,356.5,637.4,1719.3
2023,234.5,203.5,208.2,174.3,122.9,75.9,59.1,46.3,62.7,103.4,128.5,170.4,505.4,181.2,294.6,617.6,1589.7
2024,223.8,223.4,216.4,191.8,130.2,79.1,55.7,43.7,59.6,104.4,158.7,195.3,538.4,178.5,322.7,652.643089430894,1682.2
